loss,run_time,iteration,K,max_steps,delta,ndcg,window_hours
-0.019297293587157732,16.571259260177612,165,611.0,75.0,199122239.9697346,0.019297293587157732,55311.73332492628
-0.019870502079599763,20.75541639328003,166,398.0,80.0,379875122.8597685,0.019870502079599763,105520.86746104682
-0.019573089071339818,9.44105339050293,167,372.0,91.0,86207027.38695186,0.019573089071339818,23946.396496375517
-0.01080267853190571,2.207282543182373,168,457.0,98.0,22189847.062725097,0.01080267853190571,6163.846406312527
-0.020070573478367652,22.31319808959961,169,421.0,83.0,478213382.4899347,0.020070573478367652,132837.05069164853
-0.019608275724267297,18.827470541000366,170,223.0,95.0,292157538.07003784,0.019608275724267297,81154.87168612162
-0.006221016411173195,1.1751914024353027,171,635.0,42.0,10659018.302734176,0.006221016411173195,2960.83841742616
-0.01952896896851109,11.55082106590271,172,70.0,67.0,110189208.30192696,0.01952896896851109,30608.113417201934
-0.019966343752830188,22.434968948364258,173,159.0,85.0,623391290.357917,0.019966343752830188,173164.2473216436
-0.018839410501228004,14.554146766662598,174,572.0,37.0,151124934.24518192,0.018839410501228004,41979.14840143942
-0.01985980291318539,20.86842703819275,175,811.0,92.0,341807048.17240244,0.01985980291318539,94946.4022701118
-0.00335309786022458,0.646651029586792,176,341.0,89.0,3352164.110255671,0.00335309786022458,931.156697293242
-0.018531160255315825,12.743993282318115,177,297.0,5.0,252386166.63426563,0.018531160255315825,70107.26850951822
-0.01929820957139524,15.792636156082153,178,496.0,48.0,187317768.4558603,0.01929820957139524,52032.71345996119
-0.020150672723030623,22.04907774925232,179,669.0,98.0,405684457.1696976,0.020150672723030623,112690.12699158266
-0.01013390795748048,1.8958308696746826,180,434.0,70.0,19198938.06946805,0.01013390795748048,5333.038352630014
-0.01995534631951988,22.740471124649048,181,318.0,87.0,573389705.1623943,0.01995534631951988,159274.9181006651
-0.019627447628309494,19.909191846847534,182,466.0,79.0,314890654.87705696,0.019627447628309494,87469.62635473804
-0.02004457768270348,21.045154571533203,183,174.0,53.0,497100297.59260416,0.02004457768270348,138083.4159979456
-0.019247729465489645,16.978026866912842,184,512.0,82.0,212822903.60366777,0.019247729465489645,59117.473223241046
-0.014093021092195623,2.9468674659729004,185,243.0,23.0,29765921.19519555,0.014093021092195623,8268.311443109875
-0.01996140777841324,20.919097185134888,186,118.0,96.0,429765271.0352763,0.01996140777841324,119379.24195424342
-0.019589146797557633,13.850539207458496,187,591.0,63.0,134838345.66552937,0.019589146797557633,37455.0960182026
-0.019659862030624815,18.622982025146484,188,401.0,100.0,271844296.28747493,0.019659862030624815,75512.3045242986
-0.004234748062051451,0.859266996383667,189,537.0,73.0,5448588.523858087,0.004234748062051451,1513.496812182802
-0.019016149388468143,15.012312889099121,190,356.0,91.0,159905651.86986002,0.019016149388468143,44418.23663051667
-0.01984930015929774,20.115512371063232,191,213.0,94.0,356400952.2529653,0.01984930015929774,99000.26451471257
-0.020035848834427144,23.575540781021118,192,757.0,77.0,578458118.3059789,0.020035848834427144,160682.8106405497
-0.019800539411307938,11.480100154876709,193,273.0,84.0,102064649.99796279,0.019800539411307938,28351.291666100773
-0.019593588273585587,17.513834953308105,194,561.0,75.0,237376237.4741961,0.019593588273585587,65937.84374283225
